Model Name,Test Set,Accuracy,Precision,Recall,F1-Score,ROC AUC,Log Loss, ROC AUC (float), Uncertain Predictions, Uncertainty Threshold, Calibration Method
pharmSpellchecked,pharm_translated_greek_spellchecked,0.5194246768951416,0.475778364116095,0.8418300653594771,0.6079568442346595,0.5924106134618561,0.903439136239007
pharmSpellchecked,pharm_translated_greek_spellchecked,0.5766242354108118,0.5336219336219337,0.3452847805788982,0.4192743764172336,0.5528144205430454,0.6735982250689376,0.5924106134618561,N/A,N/A,platt
pharmSpellchecked,pharm_translated_greek_spellchecked,0.5785253760952224,0.5348583877995643,0.3667600373482726,0.4351390273623574,0.5567301595609819,0.671785718365227,0.5957365614692166,N/A,N/A,isotonic
pharmSpellchecked,targetSpellchecked,0.6402438879013062,0.6564901137178568,0.9380764163372859,0.772420443587271,0.5335383213074654,0.7645706558876538
pharmSpellchecked,targetSpellchecked,0.6508193597560976,0.6508193597560976,1.0,0.7884804063023028,0.5,0.6436918605845944,0.5382853786495758,N/A,N/A,isotonic
pharmSpellchecked,targetSpellchecked,0.6508193597560976,0.6508193597560976,1.0,0.7884804063023028,0.5,0.6452423499736515,0.5335383213074654,N/A,N/A,platt
pharmSpellchecked,datasetSpellchecked,0.7154143452644348,0.7352690094306461,0.9521022719883474,0.8297537146807812,0.542243598461466,0.6430774909576963
pharmSpellchecked,datasetSpellchecked,0.7285627676101701,0.7288920521945433,0.9988815626910121,0.8427919327583558,0.5012370214487463,0.581084462983991,0.5437989008925537,N/A,N/A,isotonic
pharmSpellchecked,datasetSpellchecked,0.728401727861771,0.728401727861771,1.0,0.8428616057482037,0.5,0.5814820973945404,0.542243598461466,N/A,N/A,platt
pharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.5781442572920946,0.5671911738108157,0.7230804703712244,0.6357186296371377,0.5754673122926056,0.6747503065467797,0.6039314077797888,17110,0.2
pharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.5780855684019015,0.5767045454545454,0.643590039197602,0.6083142639206712,0.5768757129640133,0.6756370776682854,0.6004565588278951,N/A,N/A,isotonic
pharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.575738012794178,0.5639946855624446,0.7340903850587964,0.6378982167902224,0.5728132738204921,0.6768161915791175,0.5989456849767517,N/A,N/A,platt
pharmSpellchecked,pharm_small_test_spellchecked,0.9,1.0,0.8,0.8888888888888888,0.9,0.1386295314794264,0.9800000000000001,N/A,N/A,isotonic
pharmSpellchecked,pharm_small_test_spellchecked,0.8,0.8,0.8,0.8,0.8,0.6030012215733115,0.9600000000000001,N/A,N/A,platt
pharmSpellchecked,pharm_small_test_spellchecked,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,1.0,8,0.2,isotonic
pharmSpellchecked,pharm_small_test_spellchecked,0.800000011920929,1.0,0.6,0.75,0.9600000000000001,0.3994752321951736
pharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5926502346992493,0.5844844201734661,0.8903841448495229,0.7057112382429943,0.630771096122762,0.7990628034795455
pharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.6012133251013341,0.6004248118947331,0.8161487643748471,0.6918609474819547,0.578100544632423,0.6641278351413369,0.630771096122762,N/A,N/A,platt
pharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.6047029769414544,0.6218569903948773,0.7128456080254465,0.664249886000912,0.5930740110527993,0.6610812920505857,0.631847972841151,N/A,N/A,isotonic
datasetSpellchecked,targetAndPharmSpellchecked,0.6014262437820435,0.5903186410569558,0.5371249621173856,0.5624669417116259,0.6410865308477902,0.7928608876628013
datasetSpellchecked,targetAndPharmSpellchecked,0.6015707815360894,0.5903748059436682,0.5378321042529548,0.5628799492519956,0.5987640484415395,0.6595320759825681,0.6410865308477902,N/A,N/A,platt
datasetSpellchecked,targetAndPharmSpellchecked,0.6202659728245158,0.7093360995850623,0.3453884230730377,0.4645696039133093,0.6081617380220095,0.6418934638629842,0.6430123892028046,N/A,N/A,isotonic
datasetSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5698869824409485,0.6423960753937517,0.4870075850256912,0.55401230272497,0.6165889699022478,0.8333016692695241
datasetSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5872815612165463,0.610828806728579,0.6823586983117201,0.6446154912974135,0.5770575748664083,0.6677183703030879,0.6165889699022478,N/A,N/A,platt
datasetSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.5903148739698816,0.5952775628982945,0.7908000978712992,0.679248455298222,0.5687559771078461,0.6636700507828018,0.6179564678726462,N/A,N/A,isotonic
datasetSpellchecked,pharmAndPharmTranslatedSpellchecked,0.544896125793457,0.4289074932539957,0.45407266334602986,0.4411314712684576,0.5414260661724031,0.8210668174158389
datasetSpellchecked,pharmAndPharmTranslatedSpellchecked,0.6044389070784921,0.0,0.0,0.0,0.5,0.6687221905068264,0.5414260661724031,N/A,N/A,platt
datasetSpellchecked,pharmAndPharmTranslatedSpellchecked,0.6044389070784921,0.0,0.0,0.0,0.5,0.6680530526541429,0.5441258491582832,N/A,N/A,isotonic
datasetSpellchecked,pharm_small_test_spellchecked,0.6000000238418579,0.6666666666666666,0.4,0.5,0.6,1.1806530548203371
datasetSpellchecked,pharm_small_test_spellchecked,0.6,0.6,0.6,0.6,0.6,0.6908873956373915,0.6,N/A,N/A,platt
datasetSpellchecked,pharm_small_test_spellchecked,0.7,0.75,0.6,0.6666666666666666,0.7000000000000002,0.5274600929337707,0.76,N/A,N/A,isotonic
datasetSpellchecked,pharm_translated_greek_spellchecked,0.5420730710029602,0.48116089613034624,0.4411764705882353,0.4603019970774476,0.5475408290757106,0.8359003778015391
datasetSpellchecked,pharm_translated_greek_spellchecked,0.5574475119854522,0.5004159733777038,0.1123249299719888,0.18346804941284123,0.5116348066736705,0.6833710949981268,0.5475408290757106,N/A,N/A,platt
datasetSpellchecked,pharm_translated_greek_spellchecked,0.5587287154901637,0.5104761904761905,0.07507002801120448,0.1308913308913309,0.5089498145394893,0.6820440275536785,0.5500124000363901,N/A,N/A,isotonic
datasetSpellchecked,pharmSpellchecked,0.5486862659454346,0.32573029211684673,0.505276225946617,0.39610705596107054,0.5455609607249632,0.7842615890180564
datasetSpellchecked,pharmSpellchecked,0.7070642785707791,0.0,0.0,0.0,0.5,0.602126661376277,0.5455609607249632,N/A,N/A,platt
datasetSpellchecked,pharmSpellchecked,0.707337030639149,1.0,0.000931098696461825,0.0018604651162790699,0.500465549348231,0.6006558590656155,0.5518015887781915,N/A,N/A,isotonic
datasetSpellchecked,targetSpellchecked,0.6552972793579102,0.8670322138450994,0.5555555555555556,0.6771948608137045,0.7724545412605204,0.7978499372537937
datasetSpellchecked,targetSpellchecked,0.7178925304878049,0.7963246554364471,0.7612355438442395,0.778384851433276,0.6991716600530884,0.5401347722012961,0.7724545412605204,N/A,N/A,platt
datasetSpellchecked,targetSpellchecked,0.7234184451219512,0.7667028788701793,0.826526130873957,0.7954913702007749,0.6788838021354777,0.5326345909621463,0.7746274657123463,N/A,N/A,isotonic
datasetSpellchecked,targetAndPharm30Spellchecked,0.6187869906425476,0.912871627427393,0.537108190091001,0.6763002100706601,0.7909601733888664,0.8267730495912442
datasetSpellchecked,targetAndPharm30Spellchecked,0.7793687682734838,0.8066025244946597,0.9239635995955511,0.8613035487063481,0.6443535017403677,0.4715555653038588,0.7909601733888664,N/A,N/A,platt
datasetSpellchecked,targetAndPharm30Spellchecked,0.7836419521703276,0.8275346053123831,0.8946410515672396,0.8597803906325916,0.6799966637946375,0.4596410526513811,0.7928791804075036,N/A,N/A,isotonic
datasetSpellchecked,targetAndPharmTranslatedSpellchecked,0.5762075185775757,0.582819308471507,0.593670740142956,0.5881949798680716,0.61617582607351,0.666962232540257
datasetSpellchecked,targetAndPharmTranslatedSpellchecked,0.5755032572334057,0.5854381596110518,0.5691722388747983,0.5771906237212837,0.5756201899693776,0.6722004175469487,0.6148035551140391,N/A,N/A,platt
datasetSpellchecked,targetAndPharmTranslatedSpellchecked,0.5768237572627501,0.582819308471507,0.593670740142956,0.5881949798680716,0.5765125966106293,0.666962232540257,0.61617582607351,N/A,N/A,isotonic
datasetAndPharmSpellchecked,pharm_translated_greek_spellchecked,0.6008844375610352,0.5956750863165546,0.30606909430438844,0.40436686609510886,0.6203581180358841,0.7762805596232533
datasetAndPharmSpellchecked,pharm_translated_greek_spellchecked,0.604025458753513,0.5862226974186651,0.35835667600373483,0.44480500666396244,0.5787408472707388,0.6648359793054647,0.6203581180358841,N/A,N/A,platt
datasetAndPharmSpellchecked,pharm_translated_greek_spellchecked,0.6051826748222847,0.5921912350597609,0.3469654528478058,0.437562555195761,0.5786065585461038,0.6631306468539654,0.6219988657878496,N/A,N/A,isotonic
datasetAndPharmSpellchecked,targetSpellchecked,0.6672065258026123,0.8822721026110857,0.5638998682476943,0.6880414396713406,0.7820944282774759,0.7745779226638473
datasetAndPharmSpellchecked,targetSpellchecked,0.7195121951219512,0.7925636007827789,0.7707509881422925,0.7815051209737272,0.6973809510970671,0.5277390228746525,0.7820944282774759,N/A,N/A,platt
datasetAndPharmSpellchecked,targetSpellchecked,0.7251333841463414,0.7608408249603384,0.8424827990045382,0.7995831886071553,0.674447402230782,0.5209467336613908,0.7843046595819596,N/A,N/A,isotonic
datasetAndPharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.6405121735162269,0.6845553168072952,0.6391974553462197,0.6610993015487397,0.640653549887404,0.6225717751928025,0.6975860886114685,N/A,N/A,platt
datasetAndPharmSpellchecked,targetAndPharm30andPharmTranslatedSpellchecked,0.6414248516897968,0.6794826274410347,0.6555419623195498,0.6672976338729764,0.6399067880333627,0.6191657937860506,0.6986359107650951,N/A,N/A,isotonic
datasetAndPharmSpellchecked,pharm_small_test_spellchecked,0.7,1.0,0.4,0.5714285714285714,0.7,0.6658017478494465,0.88,N/A,N/A,platt
datasetAndPharmSpellchecked,pharm_small_test_spellchecked,0.8,1.0,0.6,0.75,0.8,0.2772589437495561,0.92,N/A,N/A,isotonic
datasetAndPharmSpellchecked,targetAndPharm30Spellchecked,0.7858909963265612,0.8301727375140818,0.8941354903943377,0.8609677733424204,0.684817817681947,0.4497751000293679,0.8124869945157827,N/A,N/A,platt
datasetAndPharmSpellchecked,targetAndPharm30Spellchecked,0.788289976759877,0.8398422470180839,0.8828109201213347,0.8607906930888297,0.7000311486660602,0.4428831955297474,0.8142351895788437,N/A,N/A,isotonic
datasetAndPharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.6286753917483421,0.6593996196685683,0.5596610560295134,0.6054502369668247,0.629950073740997,0.6374961595964713,0.678308511355259,N/A,N/A,platt
datasetAndPharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.6295557251012384,0.6707387595778517,0.5348743370993775,0.5951510486819319,0.6313044727935619,0.6334418228678417,0.6795246641273651,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,targetSpellchecked,0.6585365853658537,0.6729519548311494,0.9247547943200117,0.7790109754593662,0.5435506577329936,0.6231353248934668,0.6347926144414667,N/A,N/A,platt
pharm_translated_greek_spellchecked,targetSpellchecked,0.6609184451219512,0.6724283305227656,0.9339774557165862,0.7819106562902138,0.5429778138064514,0.6179305026141994,0.6385880674391263,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,pharm_small_test_spellchecked,0.4,0.4,0.4,0.4,0.39999999999999997,0.6929748919440767,0.48,N/A,N/A,platt
pharm_translated_greek_spellchecked,pharm_small_test_spellchecked,0.7,0.625,1.0,0.7692307692307693,0.7,0.5292506143682449,0.7,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,pharmSpellchecked,0.7223383943994909,0.6068702290076335,0.14804469273743018,0.23802395209580837,0.5541560740271952,0.5594813841920118,0.6888981396144402,N/A,N/A,platt
pharm_translated_greek_spellchecked,pharmSpellchecked,0.7237930720974634,0.607981220657277,0.16076970825574177,0.2542955326460481,0.5589112781988493,0.5539274948113004,0.6922545806057062,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,targetAndPharm30Spellchecked,0.7414348901716771,0.7414348901716771,1.0,0.8515218046407508,0.5,0.5668444008416307,0.578149555226365,N/A,N/A,platt
pharm_translated_greek_spellchecked,targetAndPharm30Spellchecked,0.7414348901716771,0.7414348901716771,1.0,0.8515218046407508,0.5,0.5620161737539799,0.5837089984611827,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,datasetSpellchecked,0.7283164715243833,0.7362571666584995,0.9769940046558204,0.8397120629526961,0.5191900371017235,0.5637092456689157,0.6345914972191886,N/A,N/A,platt
pharm_translated_greek_spellchecked,datasetSpellchecked,0.7286196051684286,0.733788197439451,0.9846539997138881,0.8409098481735287,0.5133063866938176,0.5621551651266179,0.6353623241784326,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,targetAndPharmSpellchecked,0.6701840609039221,0.643004307922832,0.6936054146883524,0.6673470379549983,0.6712154203796437,0.6121874606134021,0.7268838856048112,N/A,N/A,platt
pharm_translated_greek_spellchecked,targetAndPharmSpellchecked,0.6709549966271562,0.641735918744229,0.7020911203151834,0.6705581552414491,0.6723260760488861,0.6073475645366546,0.7286476368484289,N/A,N/A,isotonic
pharm_translated_greek_spellchecked,datasetAndPharmSpellchecked,0.7090597584179215,0.7246806813428407,0.9313504863351086,0.8151195680123425,0.5743853219730293,0.5795114483498306,0.6708287093128066,N/A,N/A,platt
pharm_translated_greek_spellchecked,datasetAndPharmSpellchecked,0.7093869187523137,0.7235736185934946,0.9353011777060986,0.8159256613424802,0.5725171725665845,0.5785512828294288,0.6715128050768486,N/A,N/A,isotonic
datasetAndPharmTranslatedSpellchecked,targetSpellchecked,0.7746760670731707,0.8432216415616354,0.8031034987556727,0.8226737647147034,0.7623975883955717,0.4694116863397874,0.8401669182083205,N/A,N/A,platt
datasetAndPharmTranslatedSpellchecked,targetSpellchecked,0.7759146341463414,0.8321222008008304,0.8214024300980822,0.8267275674082806,0.7562673814883318,0.46166192268908657,0.8419835302627876,N/A,N/A,isotonic
datasetAndPharmTranslatedSpellchecked,pharm_small_test_spellchecked,0.5,0.5,0.6,0.5454545454545454,0.5,0.6911353492153403,0.68,N/A,N/A,platt
datasetAndPharmTranslatedSpellchecked,pharm_small_test_spellchecked,0.8,1.0,0.6,0.75,0.8,0.4187887269108438,0.8,N/A,N/A,isotonic
datasetAndPharmTranslatedSpellchecked,pharmSpellchecked,0.7130648240749159,0.5364238410596026,0.15083798882681565,0.23546511627906977,0.5484162941433809,0.5671432639096631,0.6689949122605796,N/A,N/A,platt
datasetAndPharmTranslatedSpellchecked,pharmSpellchecked,0.7142467497045186,0.5316253002401922,0.20608317815021726,0.29702527398792217,0.565430685127571,0.5645895916473425,0.6720431221094976,N/A,N/A,isotonic
datasetAndPharmTranslatedSpellchecked,targetAndPharm30Spellchecked,0.8022340505285254,0.8552115987460815,0.8827098078867543,0.8687431585232361,0.7270898995942905,0.43444909364806295,0.8295119758925449,N/A,N/A,platt
datasetAndPharmTranslatedSpellchecked,targetAndPharm30Spellchecked,0.804483094684759,0.8450530705079605,0.9016177957532862,0.8724195284218765,0.7137836731738307,0.42534277574844265,0.8311271185123925,N/A,N/A,isotonic
datasetAndPharmTranslatedSpellchecked,targetAndPharmSpellchecked,0.6948058205647104,0.7005738719477889,0.6289524194363066,0.6628340253380177,0.6919059655910229,0.5848220105448722,0.7510861125278718,N/A,N/A,platt
datasetAndPharmTranslatedSpellchecked,targetAndPharmSpellchecked,0.6960585911149658,0.7212024146852285,0.5913728659460552,0.6498667850799289,0.6914487544838521,0.5730100912615772,0.7525147285603946,N/A,N/A,isotonic
